"filename", "language", "TypeScript React", "JavaScript", "TypeScript", "JSON with Comments", "JSON", "comment", "blank", "total"
"c:\Users\hamid\wachlist\watch\.expo-shared\assets.json", "JSON", 0, 0, 0, 0, 6, 0, 1, 7
"c:\Users\hamid\wachlist\watch\App.tsx", "TypeScript React", 41, 0, 0, 0, 0, 1, 10, 52
"c:\Users\hamid\wachlist\watch\app.json", "JSON", 0, 0, 0, 0, 18, 28, 0, 46
"c:\Users\hamid\wachlist\watch\assets\color\index.tsx", "TypeScript React", 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\hamid\wachlist\watch\assets\jso.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\hamid\wachlist\watch\babel.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\hamid\wachlist\watch\components\CustomSwitch\CustomSwitch.tsx", "TypeScript React", 1002, 0, 0, 0, 0, 0, 41, 1043
"c:\Users\hamid\wachlist\watch\components\CustomSwitch\utils.js", "JavaScript", 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\hamid\wachlist\watch\components\EditScreenInfo.tsx", "TypeScript React", 72, 0, 0, 0, 0, 0, 8, 80
"c:\Users\hamid\wachlist\watch\components\StyledText.tsx", "TypeScript React", 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\hamid\wachlist\watch\components\TextInput\index.tsx", "TypeScript React", 49, 0, 0, 0, 0, 0, 5, 54
"c:\Users\hamid\wachlist\watch\components\Themed.tsx", "TypeScript React", 31, 0, 0, 0, 0, 4, 11, 46
"c:\Users\hamid\wachlist\watch\components\__tests__\StyledText-test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 4, 11
"c:\Users\hamid\wachlist\watch\components\filter\index.tsx", "TypeScript React", 235, 0, 0, 0, 0, 0, 2, 237
"c:\Users\hamid\wachlist\watch\components\introSlide\index.tsx", "TypeScript React", 311, 0, 0, 0, 0, 10, 12, 333
"c:\Users\hamid\wachlist\watch\components\introSlide\index.type.tsx", "TypeScript React", 107, 0, 0, 0, 0, 0, 4, 111
"c:\Users\hamid\wachlist\watch\components\introSlide\merge-extradata.d.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\hamid\wachlist\watch\components\introSlide\merge-extradata.js", "JavaScript", 0, 21, 0, 0, 0, 4, 1, 26
"c:\Users\hamid\wachlist\watch\components\slider\index.tsx", "TypeScript React", 252, 0, 0, 0, 0, 0, 9, 261
"c:\Users\hamid\wachlist\watch\components\space\index.tsx", "TypeScript React", 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\hamid\wachlist\watch\components\toast\index.tsx", "TypeScript React", 26, 0, 0, 0, 0, 3, 6, 35
"c:\Users\hamid\wachlist\watch\constants\Colors.ts", "TypeScript", 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\hamid\wachlist\watch\constants\Layout.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\hamid\wachlist\watch\hooks\useCachedResources.ts", "TypeScript", 0, 0, 25, 0, 0, 3, 6, 34
"c:\Users\hamid\wachlist\watch\hooks\useColorScheme.ts", "TypeScript", 0, 0, 4, 0, 0, 3, 2, 9
"c:\Users\hamid\wachlist\watch\io.json", "JSON", 0, 0, 0, 0, 73, 0, 1, 74
"c:\Users\hamid\wachlist\watch\navigation\LinkingConfiguration.ts", "TypeScript", 0, 0, 27, 0, 0, 5, 5, 37
"c:\Users\hamid\wachlist\watch\navigation\index.tsx", "TypeScript React", 341, 0, 0, 0, 0, 22, 27, 390
"c:\Users\hamid\wachlist\watch\package-lock.json", "JSON", 0, 0, 0, 0, 26523, 0, 1, 26524
"c:\Users\hamid\wachlist\watch\package.json", "JSON", 0, 0, 0, 0, 74, 0, 1, 75
"c:\Users\hamid\wachlist\watch\save.json", "JSON", 0, 0, 0, 0, 0, 55, 13, 68
"c:\Users\hamid\wachlist\watch\screens\ModalScreen.tsx", "TypeScript React", 30, 0, 0, 0, 0, 1, 5, 36
"c:\Users\hamid\wachlist\watch\screens\NotFoundScreen.tsx", "TypeScript React", 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\hamid\wachlist\watch\screens\TabOneScreen.tsx", "TypeScript React", 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\hamid\wachlist\watch\screens\TabTwoScreen.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\hamid\wachlist\watch\screens\code\codeForgetPassword.tsx", "TypeScript React", 201, 0, 0, 0, 0, 0, 7, 208
"c:\Users\hamid\wachlist\watch\screens\code\index.tsx", "TypeScript React", 273, 0, 0, 0, 0, 3, 7, 283
"c:\Users\hamid\wachlist\watch\screens\detailPageTwo\index.tsx", "TypeScript React", 186, 0, 0, 0, 0, 15, 6, 207
"c:\Users\hamid\wachlist\watch\screens\detailPage\index.tsx", "TypeScript React", 178, 0, 0, 0, 0, 15, 12, 205
"c:\Users\hamid\wachlist\watch\screens\editItem\index.tsx", "TypeScript React", 630, 0, 0, 0, 0, 5, 29, 664
"c:\Users\hamid\wachlist\watch\screens\editProfile\index.tsx", "TypeScript React", 254, 0, 0, 0, 0, 1, 10, 265
"c:\Users\hamid\wachlist\watch\screens\filter\index.tsx", "TypeScript React", 578, 0, 0, 0, 0, 0, 14, 592
"c:\Users\hamid\wachlist\watch\screens\fullImage\index.tsx", "TypeScript React", 58, 0, 0, 0, 0, 5, 8, 71
